Conv_Gain_freq (fin1=7e+09) X,Conv_Gain_freq (fin1=7e+09) Y
0,11.92545253682203
100000000,11.88892158321735
200000000,11.85058625731744
300000000,11.81045522820374
400000000,11.76853819
500000000,11.72484586856353
600000000,11.67939002643369
700000000,11.63218346530236
800000000,11.58324002672659
900000000,11.53257459082251
1000000000,11.48020307295174
1100000000,11.42614241887346
1200000000,11.37041059806541
1300000000,11.31302659545389
1400000000,11.25401040196452
1500000000,11.19338300344914
1600000000,11.13116636851244
1700000000,11.06738343543249
1800000000,11.00205809788994
1900000000,10.93521518997264
2000000000,10.86688047059454
2100000000,10.79708060704168
2200000000,10.72584315831868
2300000000,10.65319655791147
2400000000,10.57917009645519
2500000000,10.50379390401989
2600000000,10.42709893242272
2700000000,10.34911693738365
2800000000,10.26988046079821
2900000000,10.1894228129618
3000000000,10.10777805494691
3100000000,10.02498098099562
3200000000,9.941067101001012
3300000000,9.856072623228975
3400000000,9.770034436837582
3500000000,9.682990094566392
3600000000,9.594977795248997
3700000000,9.506036366324045
3800000000,9.41620524589373
3900000000,9.325524464626952
4000000000,9.234034627008397
